latitude,longitude,hour_of_day,nearby_incidents,nearby_safe_zones,lighting_density,police_proximity,crowd_density,cctv_coverage,response_speed,safety_score
12.9926,80.3157,9,4,3,55.3,62.0,89.7,61.5,83.0,54.5
12.9663,80.2089,23,1,5,74.7,93.8,92.6,49.9,95.9,89.3
13.1872,80.1529,2,1,5,67.9,71.9,73.3,87.6,82.5,85.5
13.1914,80.2976,22,0,5,71.5,64.8,73.3,87.6,87.8,95.8
13.1521,80.3168,13,4,3,56.2,62.0,61.0,63.7,83.0,53.8
13.0262,80.2981,22,0,4,76.3,64.8,77.7,87.1,87.8,98.0
12.9744,80.1786,13,3,5,56.1,85.8,92.6,49.9,89.6,74.4
13.1211,80.3007,9,0,3,69.7,64.8,57.1,48.2,87.8,98.0
13.06,80.3038,11,2,5,77.8,64.8,67.2,80.5,87.8,96.2
12.9805,80.2817,5,1,4,80.0,72.2,91.4,54.6,92.6,98.0
13.0738,80.3032,11,2,5,76.7,64.8,64.1,73.4,87.8,95.5
12.9586,80.3192,22,3,5,52.7,62.0,93.0,48.0,83.0,53.2
13.1773,80.2727,13,2,5,78.0,76.9,69.8,84.6,94.7,97.6
13.0147,80.1677,1,0,2,65.4,81.3,84.4,77.0,87.1,81.5
13.1156,80.2475,8,3,3,77.8,86.1,57.1,48.2,97.4,77.0
13.0279,80.1655,9,1,4,80.5,81.3,77.7,87.1,87.1,98.0
13.08,80.2315,16,3,5,56.7,92.5,61.5,65.5,97.9,70.9
13.0867,80.2314,16,1,5,56.6,92.5,59.4,58.0,97.9,98.0
12.9962,80.1632,2,3,2,62.8,76.6,87.3,69.3,84.7,43.9
13.1924,80.2198,18,0,5,74.8,93.8,73.3,87.6,97.2,98.0
13.1438,80.1722,0,4,2,52.3,81.3,59.0,56.4,87.1,30.1
13.1849,80.3116,11,1,5,60.2,62.7,69.8,84.6,85.3,98.0
13.1737,80.3395,6,4,5,50.1,64.8,66.5,79.0,79.5,61.6
13.0995,80.1645,3,0,4,75.6,76.6,57.9,52.0,84.7,98.0
13.1805,80.341,9,3,5,61.5,64.8,69.8,84.6,79.5,74.8
12.9721,80.2545,12,4,5,93.1,86.1,92.6,49.9,97.4,79.7
12.999,80.2099,1,1,2,79.8,93.8,87.3,69.3,95.9,73.6
12.9613,80.1654,9,3,5,52.5,81.3,93.0,48.0,87.1,74.7
13.0313,80.2501,20,3,4,57.5,86.1,77.7,87.1,97.4,71.9
13.0472,80.3089,21,2,5,81.9,62.7,70.6,85.6,85.3,98.0
13.0178,80.2914,3,1,3,73.3,68.1,81.2,83.2,90.3,79.4
13.1572,80.16,17,4,4,59.4,76.6,63.5,71.6,84.7,56.5
13.0392,80.1646,4,4,4,90.4,76.6,74.1,87.9,84.7,58.9
13.0202,80.2306,18,0,3,67.1,92.5,81.2,83.2,97.9,98.0
13.0857,80.2091,1,1,5,65.6,93.8,59.4,58.0,95.9,86.9
12.9852,80.1965,11,0,3,74.3,92.3,89.7,61.5,94.2,98.0
13.1505,80.2062,16,2,3,83.3,93.8,61.0,63.7,95.9,86.5
12.9686,80.3107,9,2,5,53.9,62.7,92.6,49.9,85.3,82.2
13.1967,80.3358,1,1,5,73.9,64.8,76.9,87.6,79.5,88.5
13.1431,80.231,5,3,2,90.1,92.5,59.0,56.4,97.9,75.8
12.9997,80.3312,7,3,2,56.8,62.7,87.3,69.3,81.0,61.7
12.9514,80.2143,18,1,5,78.2,93.8,92.7,49.3,95.9,98.0
13.1539,80.2453,10,5,3,88.0,86.1,61.0,63.7,97.4,73.2
13.1267,80.1952,11,0,2,68.2,92.3,57.7,51.0,94.2,98.0
13.1323,80.2781,8,2,2,79.5,72.2,57.7,51.0,92.6,81.4
13.1428,80.3458,1,3,2,51.5,68.0,59.0,56.4,78.4,39.2
12.9685,80.2707,7,3,5,81.7,76.9,92.6,49.9,94.7,89.8
13.0396,80.2216,10,2,4,60.7,93.8,74.1,87.9,97.2,87.3
12.979,80.2796,20,2,4,77.6,72.2,91.4,54.6,92.6,93.7
13.1658,80.1746,3,2,5,55.1,81.3,66.5,79.0,87.1,68.7
13.1058,80.3277,9,1,4,66.0,62.7,57.1,48.6,81.0,98.0
13.0327,80.2506,20,2,4,60.1,86.1,77.7,87.1,97.4,82.5
12.9659,80.2399,19,5,5,91.9,89.8,92.6,49.9,98.0,80.0
13.0277,80.2672,15,1,4,65.0,76.9,77.7,87.1,94.7,97.2
13.0313,80.275,7,2,4,67.7,76.9,77.7,87.1,94.7,87.8
13.1324,80.1644,3,3,2,54.8,76.6,57.7,51.0,84.7,41.1
13.1094,80.2865,9,1,4,74.9,68.1,57.1,48.6,90.3,98.0
13.1718,80.1984,11,0,5,69.5,92.3,66.5,79.0,94.2,98.0
13.0681,80.2928,13,1,5,69.8,68.1,64.1,73.4,90.3,98.0
12.9799,80.3145,15,2,4,59.0,62.7,91.4,54.6,85.3,83.9
13.1283,80.3108,21,3,2,63.2,62.7,57.7,51.0,85.3,60.5
13.1402,80.2605,17,3,2,89.8,81.7,59.0,56.4,96.3,77.4
13.0903,80.254,20,3,5,62.2,86.1,59.4,58.0,97.4,76.2
13.1427,80.1786,21,2,2,56.6,85.8,59.0,56.4,89.6,70.0
13.0734,80.3051,20,3,5,82.7,62.7,64.1,73.4,85.3,87.1
13.0807,80.2043,11,0,5,74.5,92.3,61.5,65.5,94.2,98.0
13.0569,80.2493,17,5,5,46.3,86.1,67.2,80.5,97.4,62.2
12.9564,80.2069,6,1,5,79.8,93.8,93.0,48.0,95.9,98.0
12.977,80.1768,19,3,4,57.1,85.8,91.4,54.6,89.6,72.7
12.9579,80.2759,23,1,5,84.3,72.2,93.0,48.0,92.6,89.2
13.1091,80.1609,22,1,4,71.1,76.6,57.1,48.6,84.7,85.2
13.0286,80.2997,6,0,4,73.8,64.8,77.7,87.1,87.8,98.0
13.0771,80.2135,8,2,5,63.3,93.8,61.5,65.5,95.9,89.5
13.1769,80.15,0,2,5,61.3,71.9,69.8,84.6,82.5,70.7
13.0123,80.2522,5,1,2,79.2,86.1,84.4,77.0,97.4,90.9
13.0526,80.1594,5,4,5,86.5,76.6,70.6,85.6,84.7,80.5
13.1389,80.2052,21,2,2,79.7,93.8,59.0,56.4,95.9,82.0
13.0072,80.2914,11,0,2,71.0,68.1,84.4,77.0,90.3,98.0
12.9692,80.1625,21,5,5,54.8,76.6,92.6,49.9,84.7,61.3
13.0224,80.3179,11,0,3,74.1,62.0,81.2,83.2,83.0,98.0
12.9903,80.1508,9,4,3,54.8,71.9,89.7,61.5,82.5,56.6
13.1824,80.1994,22,0,5,71.3,92.3,69.8,84.6,94.2,97.9
13.152,80.2982,5,2,3,63.1,64.8,61.0,63.7,87.8,82.3
13.1084,80.2133,16,0,4,79.2,93.8,57.1,48.6,95.9,98.0
13.1679,80.1704,18,3,5,57.6,81.3,66.5,79.0,87.1,74.3
13.1509,80.222,17,2,3,78.8,93.8,61.0,63.7,97.2,91.7
12.9966,80.2041,5,1,2,72.3,92.3,87.3,69.3,94.2,90.2
13.1731,80.3185,23,2,5,55.4,62.0,66.5,79.0,83.0,66.9
13.0848,80.2127,18,2,5,65.2,93.8,61.5,65.5,95.9,91.6
13.1519,80.3078,9,2,3,56.8,62.7,61.0,63.7,85.3,80.5
13.174,80.3284,23,4,5,56.8,62.7,66.5,79.0,81.0,43.0
13.0295,80.2368,7,2,4,60.9,89.8,77.7,87.1,98.0,84.6
12.9775,80.332,20,5,4,45.0,62.7,91.4,54.6,81.0,60.3
13.007,80.2255,23,0,2,77.5,92.5,84.4,77.0,97.9,85.9
13.0568,80.3428,5,5,5,94.2,64.8,67.2,80.5,79.5,80.0
13.1545,80.1679,20,3,3,51.3,81.3,61.0,63.7,87.1,64.5
13.1652,80.2874,6,1,5,68.9,68.1,66.5,79.0,90.3,98.0
12.9517,80.2488,23,3,5,87.8,86.1,92.7,49.3,97.4,71.6
13.0777,80.2275,0,3,5,57.9,92.5,61.5,65.5,97.9,57.4
13.0544,80.2765,17,1,5,66.7,72.2,70.6,85.6,92.6,98.0
13.0055,80.2908,23,1,2,75.6,68.1,84.4,77.0,90.3,69.8
12.98,80.1509,19,4,4,53.2,71.9,91.4,54.6,82.5,60.0
13.0344,80.1834,11,2,4,75.4,85.8,77.7,87.1,89.6,91.9
13.1857,80.2926,15,0,5,69.8,68.1,73.3,87.6,90.3,98.0
13.0308,80.2833,9,1,4,70.5,72.2,77.7,87.1,92.6,98.0
13.0797,80.3432,9,3,5,86.0,64.8,61.5,65.5,79.5,88.7
13.1258,80.3022,13,2,2,69.6,64.8,57.7,51.0,87.8,75.7
13.0409,80.3402,19,3,4,88.0,64.8,74.1,87.9,79.5,87.7
13.1929,80.2905,9,1,5,75.9,68.1,73.3,87.6,90.3,98.0
13.1906,80.2096,9,0,5,77.1,93.8,73.3,87.6,95.9,98.0
13.0129,80.1711,10,1,2,68.1,81.3,84.4,77.0,87.1,91.5
13.0743,80.3064,22,2,5,82.1,62.7,64.1,73.4,85.3,80.8
13.0252,80.2788,1,1,4,64.5,72.2,77.7,87.1,92.6,83.6
13.0212,80.1596,19,0,3,80.7,76.6,81.2,83.2,84.7,98.0
12.9592,80.222,7,3,5,88.7,93.8,93.0,48.0,97.2,88.4
13.1024,80.3414,22,0,4,74.6,64.8,57.9,52.0,79.5,95.3
13.0757,80.2501,6,4,5,61.5,86.1,61.5,65.5,97.4,64.3
12.9629,80.2365,7,4,5,90.8,89.8,93.0,48.0,98.0,83.1
13.0197,80.2415,0,1,3,65.4,89.8,81.2,83.2,98.0,76.4
13.1771,80.1918,20,0,5,67.6,89.6,69.8,84.6,92.0,98.0
13.0099,80.2237,1,1,2,74.3,93.8,84.4,77.0,97.2,70.6
12.9862,80.224,17,2,3,83.0,93.8,89.7,61.5,97.2,91.6
13.0724,80.1605,14,5,5,92.3,76.6,64.1,73.4,84.7,82.5
13.1964,80.3035,0,0,5,70.2,64.8,76.9,87.6,87.8,98.0
13.0105,80.2333,4,1,2,73.5,92.5,84.4,77.0,97.9,74.1
13.118,80.3144,1,1,3,65.0,62.7,57.1,48.2,85.3,75.6
13.1404,80.3201,19,4,2,57.3,62.0,59.0,56.4,83.0,48.5
13.0094,80.1924,2,0,2,71.4,89.6,84.4,77.0,92.0,81.0
13.1321,80.2815,18,2,2,77.9,72.2,57.7,51.0,92.6,80.2
13.0419,80.2445,17,3,4,54.4,89.8,74.1,87.9,98.0,70.5
13.1081,80.326,21,1,4,65.2,62.7,57.1,48.6,81.0,97.3
13.1084,80.1931,17,0,4,68.6,89.6,57.1,48.6,92.0,98.0
13.0839,80.2856,13,1,5,67.9,68.1,61.5,65.5,90.3,98.0
12.9726,80.2716,23,2,5,92.0,76.9,92.6,49.9,94.7,84.6
13.1588,80.2091,7,2,4,83.7,93.8,63.5,71.6,95.9,95.8
13.0302,80.1773,11,1,4,82.6,85.8,77.7,87.1,89.6,98.0
12.9966,80.2803,20,1,2,73.9,72.2,87.3,69.3,92.6,87.1
12.9602,80.2977,9,1,5,68.6,64.8,93.0,48.0,87.8,98.0
13.0977,80.2131,22,1,4,69.1,93.8,57.9,52.0,95.9,83.3
13.1194,80.279,19,0,3,73.6,72.2,57.1,48.2,92.6,98.0
12.9541,80.229,16,3,5,89.7,92.5,92.7,49.3,97.9,86.7
13.078,80.2926,10,0,5,73.2,68.1,61.5,65.5,90.3,98.0
13.0066,80.1898,1,1,2,70.9,89.6,84.4,77.0,92.0,71.6
13.1113,80.328,3,0,4,67.6,62.7,57.1,48.6,81.0,93.9
12.9936,80.2075,0,2,3,77.0,93.8,89.7,61.5,95.9,70.8
13.1227,80.2236,14,1,3,80.3,93.8,57.1,48.2,97.2,98.0
13.0467,80.1616,12,5,5,88.6,76.6,70.6,85.6,84.7,80.3
13.1842,80.1723,7,1,5,65.2,81.3,69.8,84.6,87.1,98.0
12.9844,80.2532,3,5,4,94.4,86.1,91.4,54.6,97.4,64.3
13.0353,80.2035,9,0,4,75.3,92.3,74.1,87.9,94.2,98.0
12.9784,80.3171,18,4,4,52.5,62.0,91.4,54.6,83.0,56.0
13.1812,80.1529,17,2,5,60.9,71.9,69.8,84.6,82.5,87.2
13.1693,80.2258,4,3,5,87.6,92.5,66.5,79.0,97.9,70.8
13.0145,80.2175,18,0,2,73.5,93.8,84.4,77.0,97.2,98.0
13.115,80.1539,22,1,4,65.4,71.9,57.1,48.6,82.5,83.0
13.1543,80.1749,21,3,3,57.9,81.3,61.0,63.7,87.1,64.0
13.0888,80.2327,15,2,5,63.5,92.5,59.4,58.0,97.9,89.9
13.0824,80.2486,0,3,5,52.9,86.1,61.5,65.5,97.4,55.4
13.0105,80.2309,11,1,2,73.2,92.5,84.4,77.0,97.9,92.3
12.9733,80.2562,23,3,5,91.6,81.7,92.6,49.9,96.3,73.7
13.1743,80.269,1,3,5,80.5,76.9,66.5,79.0,94.7,69.8
13.1751,80.152,20,2,5,67.6,71.9,69.8,84.6,82.5,87.1
13.1083,80.2428,7,1,4,74.8,89.8,57.1,48.6,98.0,98.0
13.0348,80.3427,17,2,4,85.1,64.8,77.7,87.1,79.5,96.0
13.0373,80.2538,15,4,4,46.9,86.1,74.1,87.9,97.4,61.6
13.1315,80.2855,4,0,2,74.4,68.1,57.7,51.0,90.3,80.8
13.1743,80.2124,21,2,5,75.7,93.8,66.5,79.0,95.9,98.0
13.1718,80.3048,12,1,5,70.7,64.8,66.5,79.0,87.8,98.0
13.145,80.3046,18,2,2,64.5,64.8,59.0,56.4,87.8,74.6
13.1105,80.2543,2,0,4,75.4,86.1,57.1,48.6,97.4,98.0
12.971,80.3452,7,4,5,50.3,68.0,92.6,49.9,78.4,59.9
12.9904,80.1751,11,2,3,63.9,85.8,89.7,61.5,89.6,79.3
13.1746,80.1534,1,4,5,59.7,71.9,66.5,79.0,82.5,44.4
13.1016,80.304,10,0,4,73.1,64.8,57.9,52.0,87.8,98.0
12.9523,80.3114,11,3,5,61.3,62.7,92.7,49.3,85.3,74.0
12.9754,80.174,17,3,4,52.4,81.3,91.4,54.6,87.1,68.1
13.1159,80.2031,12,1,3,73.9,92.3,57.1,48.2,94.2,97.4
12.9513,80.1535,4,3,5,50.4,71.9,92.7,49.3,82.5,56.6
12.9902,80.2087,21,2,3,85.1,93.8,89.7,61.5,95.9,88.5
13.0872,80.3046,11,0,5,73.8,64.8,59.4,58.0,87.8,98.0
13.123,80.2536,1,3,3,79.0,86.1,57.1,48.2,97.4,60.1
13.113,80.2196,4,0,4,75.0,93.8,57.1,48.6,97.2,98.0
13.0061,80.2243,6,1,2,75.6,93.8,84.4,77.0,97.2,90.2
13.128,80.1503,23,3,2,52.5,71.9,57.7,51.0,82.5,39.3
13.0093,80.21,11,1,2,70.3,93.8,84.4,77.0,95.9,89.9
13.0313,80.2793,15,0,4,66.5,72.2,77.7,87.1,92.6,98.0
13.1366,80.3448,22,5,2,55.4,64.8,59.0,56.4,79.5,27.6
13.1124,80.3194,7,0,4,64.8,62.0,57.1,48.6,83.0,98.0
13.1623,80.1547,8,5,4,52.0,71.9,63.5,71.6,82.5,56.3
13.1144,80.3297,14,0,4,69.2,62.7,57.1,48.6,81.0,98.0
13.0921,80.3066,4,2,5,84.2,62.7,59.4,58.0,85.3,80.1
12.9734,80.3061,12,2,5,56.7,62.7,92.6,49.9,85.3,84.7
13.0419,80.2416,4,4,4,55.2,89.8,74.1,87.9,98.0,43.6
13.0163,80.2296,10,0,3,68.7,92.5,81.2,83.2,97.9,98.0
13.011,80.2106,9,1,2,73.5,93.8,84.4,77.0,95.9,89.4
13.1933,80.1631,19,0,5,67.4,76.6,73.3,87.6,84.7,98.0
13.0483,80.1956,12,1,5,75.2,92.3,70.6,85.6,94.2,98.0
13.173,80.1993,8,0,5,69.5,92.3,66.5,79.0,94.2,98.0
13.1078,80.2468,20,1,4,76.1,86.1,57.1,48.6,97.4,98.0
13.1487,80.2995,13,1,3,67.1,64.8,61.0,63.7,87.8,93.3
13.0757,80.2448,17,4,5,56.6,89.8,61.5,65.5,98.0,62.3
13.0942,80.1616,14,2,5,84.2,76.6,59.4,58.0,84.7,98.0
13.0731,80.3416,9,5,5,94.0,64.8,64.1,73.4,79.5,78.7
12.9988,80.3385,23,2,2,59.7,64.8,87.3,69.3,79.5,57.0
13.1306,80.307,6,3,2,58.9,62.7,57.7,51.0,85.3,59.9
13.0202,80.3483,7,0,3,73.9,68.0,81.2,83.2,78.4,98.0
12.9561,80.2589,2,4,5,83.3,81.7,93.0,48.0,96.3,60.8
13.1114,80.3426,14,0,4,68.6,64.8,57.1,48.6,79.5,98.0
12.9943,80.1651,15,4,3,56.7,81.3,89.7,61.5,87.1,55.1
13.1851,80.2231,3,0,5,77.3,93.8,73.3,87.6,97.2,98.0
13.1885,80.1951,20,1,5,70.2,92.3,73.3,87.6,94.2,98.0
13.1787,80.1892,5,0,5,69.9,89.6,69.8,84.6,92.0,98.0
13.0425,80.1782,0,3,4,81.1,85.8,74.1,87.9,89.6,67.0
12.9539,80.2745,3,2,5,83.8,76.9,92.7,49.3,94.7,79.2
13.1821,80.3063,10,2,5,65.1,62.7,69.8,84.6,85.3,87.4
13.057,80.2657,11,2,5,52.4,76.9,67.2,80.5,94.7,85.7
13.1917,80.1794,4,1,5,68.5,85.8,73.3,87.6,89.6,85.5
13.1909,80.3122,22,0,5,69.6,62.7,73.3,87.6,85.3,95.4
13.1633,80.2772,20,2,4,79.0,72.2,63.5,71.6,92.6,92.8
13.0236,80.2276,15,0,3,73.0,92.5,81.2,83.2,97.9,98.0
13.0463,80.2848,12,2,5,64.2,72.2,70.6,85.6,92.6,87.8
13.1628,80.202,12,0,4,73.4,92.3,63.5,71.6,94.2,98.0
13.0292,80.219,16,2,4,63.5,93.8,77.7,87.1,97.2,88.7
12.9924,80.3335,6,3,3,55.4,62.7,89.7,61.5,81.0,65.5
13.0892,80.2081,7,1,5,65.4,93.8,59.4,58.0,95.9,98.0
13.184,80.244,12,2,5,83.0,89.8,69.8,84.6,98.0,98.0
13.124,80.328,22,3,3,63.0,62.7,57.1,48.2,81.0,49.7
13.0925,80.2915,15,0,5,72.6,68.1,59.4,58.0,90.3,98.0
12.9743,80.1624,3,5,5,55.9,76.6,92.6,49.9,84.7,42.7
13.1038,80.1795,7,0,4,76.6,85.8,57.9,52.0,89.6,98.0
13.1975,80.1516,15,1,5,76.9,71.9,76.9,87.6,82.5,98.0
12.985,80.2762,20,1,3,79.2,72.2,89.7,61.5,92.6,98.0
13.0796,80.2395,9,4,5,55.5,89.8,61.5,65.5,98.0,63.8
13.1693,80.1769,11,2,5,57.4,85.8,66.5,79.0,89.6,86.0
13.1352,80.3416,11,5,2,53.0,64.8,59.0,56.4,79.5,49.1
13.1243,80.2559,4,1,3,81.2,81.7,57.1,48.2,96.3,83.8
13.1256,80.1984,15,1,2,71.5,92.3,57.7,51.0,94.2,92.3
13.0399,80.2501,0,3,4,50.2,86.1,74.1,87.9,97.4,52.6
13.0234,80.2859,8,1,3,67.1,68.1,81.2,83.2,90.3,91.6
13.1523,80.1652,11,3,3,53.7,81.3,61.0,63.7,87.1,63.7
13.1525,80.2049,4,1,3,70.9,92.3,61.0,63.7,94.2,77.7
13.1668,80.3114,21,2,5,70.6,62.7,66.5,79.0,85.3,88.6
13.1783,80.2419,19,3,5,84.2,89.8,69.8,84.6,98.0,86.2
13.0778,80.2593,21,2,5,58.2,81.7,61.5,65.5,96.3,85.5
13.0754,80.2366,23,4,5,54.2,89.8,61.5,65.5,98.0,47.3
13.1496,80.1588,2,4,3,53.8,76.6,61.0,63.7,84.7,34.3
13.1125,80.1831,4,1,4,62.5,85.8,57.1,48.6,89.6,81.8
13.1255,80.2391,1,3,2,96.7,89.8,57.7,51.0,98.0,57.7
13.1489,80.1918,13,2,3,67.5,89.6,61.0,63.7,92.0,83.3
13.1725,80.16,1,3,5,56.1,76.6,66.5,79.0,84.7,54.1
13.0345,80.3187,12,2,4,74.1,62.0,77.7,87.1,83.0,95.8
13.0439,80.3462,6,2,4,84.1,68.0,74.1,87.9,78.4,98.0
12.9735,80.3086,9,3,5,54.2,62.7,92.6,49.9,85.3,73.6
13.0946,80.3208,12,1,5,81.6,62.0,59.4,58.0,83.0,98.0
12.959,80.1984,15,1,5,68.4,92.3,93.0,48.0,94.2,98.0
13.0664,80.3421,13,4,5,90.6,64.8,64.1,73.4,79.5,78.6
13.0857,80.1894,10,1,5,75.6,89.6,59.4,58.0,92.0,98.0
13.0216,80.3403,9,0,3,76.1,64.8,81.2,83.2,79.5,98.0
13.0977,80.349,5,1,4,74.6,68.0,57.9,52.0,78.4,98.0
12.9576,80.2923,3,0,5,68.8,68.1,93.0,48.0,90.3,98.0
12.9593,80.3462,20,4,5,54.7,68.0,93.0,48.0,78.4,61.5
13.1557,80.2639,0,3,4,84.2,81.7,63.5,71.6,96.3,72.0
13.04,80.2019,6,1,4,68.5,92.3,74.1,87.9,94.2,98.0
12.9818,80.2374,23,4,4,93.5,89.8,91.4,54.6,98.0,59.7
13.0806,80.2687,8,3,5,56.6,76.9,61.5,65.5,94.7,72.3
13.1425,80.1646,7,4,2,53.7,76.6,59.0,56.4,84.7,45.3
13.004,80.2745,4,2,2,88.0,76.9,87.3,69.3,94.7,63.5
13.1057,80.3462,18,0,4,65.9,68.0,57.1,48.6,78.4,98.0
12.9713,80.188,9,2,5,64.9,89.6,92.6,49.9,92.0,88.5
12.9629,80.3085,10,2,5,60.6,62.7,93.0,48.0,85.3,85.2
13.0828,80.3316,14,4,5,84.4,62.7,61.5,65.5,81.0,76.2
13.0852,80.3387,5,2,5,76.1,64.8,59.4,58.0,79.5,96.8
13.1094,80.342,14,1,4,67.3,64.8,57.1,48.6,79.5,98.0
13.1315,80.2543,4,3,2,92.4,86.1,57.7,51.0,97.4,59.3
13.194,80.3455,18,1,5,67.9,68.0,73.3,87.6,78.4,98.0
13.0791,80.3015,21,1,5,76.0,64.8,61.5,65.5,87.8,98.0
13.0307,80.1823,18,2,4,77.2,85.8,77.7,87.1,89.6,93.4
13.1488,80.2454,9,4,3,91.7,86.1,61.0,63.7,97.4,72.6
13.0177,80.2937,11,1,3,70.1,68.1,81.2,83.2,90.3,96.1
13.0597,80.1995,21,0,5,73.4,92.3,67.2,80.5,94.2,98.0
12.9696,80.2781,3,2,5,83.5,72.2,92.6,49.9,92.6,78.0
12.9563,80.2833,17,1,5,74.3,72.2,93.0,48.0,92.6,98.0
13.1907,80.1825,15,1,5,67.2,85.8,73.3,87.6,89.6,98.0
13.159,80.263,7,3,4,82.7,81.7,63.5,71.6,96.3,89.7
13.124,80.3043,3,1,3,70.3,64.8,57.1,48.2,87.8,74.2
13.0522,80.2498,22,4,5,47.2,86.1,70.6,85.6,97.4,44.7
12.9933,80.1524,11,4,3,53.1,71.9,89.7,61.5,82.5,52.6
12.9891,80.1518,1,3,3,48.5,71.9,89.7,61.5,82.5,45.2
13.0126,80.2214,3,1,2,73.8,93.8,84.4,77.0,97.2,73.8
13.0873,80.3352,4,2,5,78.6,64.8,59.4,58.0,79.5,77.7
13.1286,80.1957,2,1,2,73.1,92.3,57.7,51.0,94.2,73.2
13.115,80.2769,8,0,3,71.1,72.2,57.1,48.2,92.6,98.0
13.02,80.1944,20,1,3,73.4,89.6,81.2,83.2,92.0,98.0
13.1887,80.2143,17,0,5,73.0,93.8,73.3,87.6,95.9,98.0
13.1345,80.3196,10,3,2,56.9,62.0,57.7,51.0,83.0,60.7
13.0886,80.2958,2,0,5,73.0,64.8,59.4,58.0,87.8,98.0
13.1029,80.1691,22,1,4,74.8,81.3,57.9,52.0,87.1,81.8
13.0549,80.2357,1,4,5,56.7,89.8,70.6,85.6,98.0,42.2
13.0119,80.1558,8,1,2,69.6,76.6,84.4,77.0,84.7,87.7
13.039,80.2462,13,3,4,59.2,86.1,74.1,87.9,97.4,72.4
13.1395,80.2825,3,2,2,78.5,72.2,59.0,56.4,92.6,62.3
12.9536,80.1737,8,2,5,59.8,81.3,92.7,49.3,87.1,83.3
12.979,80.2078,12,2,4,80.8,93.8,91.4,54.6,95.9,93.2
12.9615,80.2296,17,3,5,93.5,92.5,93.0,48.0,97.9,91.3
12.9602,80.3339,14,5,5,53.7,62.7,93.0,48.0,81.0,61.3
13.1639,80.3487,9,3,4,48.9,68.0,63.5,71.6,78.4,68.6
13.1259,80.159,15,4,2,57.3,76.6,57.7,51.0,84.7,48.2
13.0685,80.3022,11,1,5,82.5,64.8,64.1,73.4,87.8,98.0
12.9745,80.2243,19,3,5,83.1,93.8,92.6,49.9,97.2,87.0
13.0729,80.2285,4,3,5,54.5,92.5,64.1,73.4,97.9,51.2
13.0684,80.3009,1,2,5,84.0,64.8,64.1,73.4,87.8,80.0
12.9933,80.3337,9,3,3,59.0,62.7,89.7,61.5,81.0,62.8
13.0585,80.3402,0,5,5,97.4,64.8,67.2,80.5,79.5,67.9
13.0496,80.2654,6,2,5,54.7,76.9,70.6,85.6,94.7,87.0
13.104,80.2214,16,1,4,69.6,93.8,57.9,52.0,97.2,98.0
13.1088,80.3075,15,0,4,71.0,62.7,57.1,48.6,85.3,98.0
12.9613,80.2002,23,1,5,69.9,92.3,93.0,48.0,94.2,87.9
